id_persona,sexoact,fnacact,edadact,redadact,estcivil,dpto,aportante,tipo_cargo,remuneracion,aporte_armador,aporte_trabajador,aporte_total,primer_periodo,ultimo_periodo,nro_semanas,montos_aportes
596799720132,1,27/01/1975,48,4,1,2,0,,,,,,201403,202007,61,4872.18
596882820132,1,20/03/1971,52,4,1,2,1,2,202.76,,82,82,201406,202306,498,48464.12
596891210146,1,19/05/1991,32,2,1,2,0,,,,,,201506,201803,7,480.03
597220000132,1,24/12/1970,52,4,1,2,0,,,,,,201601,201607,3,399.52
597242310132,1,02/06/1976,47,4,1,2,0,,,,,,201405,201406,107,97.5
597397700141,1,08/07/1983,39,3,1,14,0,,,,,,201406,201706,142,1761.94
597418700132,1,21/07/1976,46,4,1,2,0,6,1936.34,96.81999999999999,154.91,251.73,202006,202007,78,251.73
597473210132,1,12/06/1976,47,4,1,2,0,,,,,,201804,201904,37,3553.77
597512130132,1,06/06/1976,47,4,2,2,0,,,,,,202005,202106,27,6289.6
597529630115,1,19/03/1961,62,5,1,14,1,6,235.97,,82,82,201402,202306,371,59564.89
597570450132,1,26/06/1976,47,4,1,2,1,6,850.64,,82,82,201405,202306,442,92451.19000000003
597742020115,1,18/07/1963,59,5,2,14,1,6,1257.98,,100.64,100.64,201405,202306,571,69455.43000000001
597782830115,1,07/05/1961,62,5,2,14,0,6,149.69,46.5,74.40000000000001,120.9,201606,202005,298,9530.08
597789780132,1,29/05/1974,49,4,1,2,1,,,,,,201403,202306,294,47574.52
597855320132,1,27/06/1976,47,4,1,2,0,,,,,,201402,201903,545,22217.7
597856810132,1,03/04/1972,51,4,1,2,0,6,5616.9,280.85,449.35,730.20001,201406,201907,198,10367.69
597859050115,1,22/03/1963,60,5,2,14,1,5,4119.61,,329.57,329.57001,201405,202306,652,109552.9
598061730115,1,09/01/1960,63,5,2,14,1,6,4831.18,,386.49,386.48999,201405,202306,805,113096.8
598073280132,1,09/04/1977,46,4,1,2,0,,,,,,201511,201704,19,1346.51
598169390132,1,03/01/1977,46,4,2,12,1,6,188.51,,82,82,201402,202306,444,67832.00999999999
598201110132,1,30/04/1965,58,5,2,2,1,6,3582.68,,286.61,286.60999,201405,202306,566,77224.78
598250510132,1,23/06/1976,47,4,1,17,1,2,277.72,,82,82,201405,202306,615,60755.38
598355910132,1,24/09/1977,45,4,1,2,0,6,201.3,,82,82,201711,202301,104,10461.52
598532120132,1,09/01/1977,46,4,1,2,1,6,202.23,,82,82,201407,202306,212,3906.13
598593260115,1,16/07/1965,57,5,2,14,1,6,1733.32,,138.67,138.67,201402,202306,436,71200.85000000001
598596470143,1,24/12/1986,36,3,1,12,1,5,2784.28,,222.74,222.74001,201405,202306,174,57484.95
598701990132,1,25/04/1970,53,4,1,2,0,,2966.49,148.32,237.32,385.64001,201402,202109,488,80579.01999999997
598711780132,1,28/04/1978,45,4,,2,0,6,639.35,37.5,60,97.5,201402,201403,275,195
598719470132,1,14/10/1968,54,4,2,2,1,6,3737.72,,299.02,299.01999,201405,202306,677,109019.19
598782490115,1,13/03/1965,58,5,1,14,1,2,4145.81,,331.66,331.66,201504,202306,727,147962.09
598868390132,1,04/09/1976,46,4,1,2,0,,,,,,201405,202209,74,14488.78
599009330132,1,30/08/1977,45,4,1,2,1,6,292.04,,82,82,201405,202306,415,78666.43000000001
599072270132,1,27/07/1973,49,4,1,2,0,,,,,,201406,201708,207,17130.28
599197400144,1,21/03/1988,35,3,1,2,1,6,150.16,,82,82,201807,202306,35,4675.239999999999
599278020115,1,13/10/1975,47,4,1,14,0,,2431.63,121.58,194.53,316.11002,202005,202006,2,1275.48
599529360142,1,20/01/1985,38,3,1,10,0,6,3348.99,167.45,267.92,435.37,201407,201511,82,10241.44
600001210175,1,02/01/1995,28,2,1,14,0,6,819.8099999999999,42.5,68,110.5,201704,201706,8,331.94
600001570143,1,14/06/1979,44,3,1,14,1,6,208.5,,82,82,201402,202306,289,55486.28
600119220173,1,26/12/1995,27,2,1,19,1,6,807.15,,82,82,201407,202306,149,35896.42999999999
600389520141,1,30/03/1981,42,3,1,2,0,6,5355.12,267.76,428.41,696.16998,202105,202107,7,3662.06
600668900143,1,08/04/1985,38,3,1,17,0,,,,,,201403,201606,80,97.5
600672620116,1,21/09/1971,51,4,2,14,0,,175.73,46.5,74.40000000000001,120.9,201405,202102,224,31650.91
